Start training!
Training finished!
         47729690 function calls (45548423 primitive calls) in 69.398 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10956    0.005    0.000    0.047    0.000 <__array_function__ internals>:177(all)
    15640    0.005    0.000    0.042    0.000 <__array_function__ internals>:177(amax)
    15200    0.005    0.000    0.042    0.000 <__array_function__ internals>:177(amin)
     1804    0.001    0.000    0.011    0.000 <__array_function__ internals>:177(any)
     7308    0.003    0.000    0.026    0.000 <__array_function__ internals>:177(around)
       88    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
     4355    0.003    0.000    0.042    0.000 <__array_function__ internals>:177(broadcast_arrays)
       44    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(can_cast)
     3168    0.002    0.000    0.051    0.000 <__array_function__ internals>:177(clip)
     4691    0.002    0.000    0.033    0.000 <__array_function__ internals>:177(column_stack)
     6336    0.004    0.000    0.019    0.000 <__array_function__ internals>:177(concatenate)
       34    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
      176    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(cumsum)
     1584    0.001    0.000    0.009    0.000 <__array_function__ internals>:177(diff)
    19530    0.008    0.000    0.026    0.000 <__array_function__ internals>:177(dot)
       44    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(inv)
     1584    0.001    0.000    0.059    0.000 <__array_function__ internals>:177(isclose)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(linspace)
     6410    0.003    0.000    0.010    0.000 <__array_function__ internals>:177(ndim)
     3168    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(nonzero)
     3168    0.002    0.000    0.016    0.000 <__array_function__ internals>:177(ptp)
    10070    0.005    0.000    0.047    0.000 <__array_function__ internals>:177(reshape)
     1614    0.001    0.000    0.002    0.000 <__array_function__ internals>:177(result_type)
     7308    0.003    0.000    0.034    0.000 <__array_function__ internals>:177(round_)
       88    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sort)
       44    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(transpose)
       88    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(unravel_index)
    48/35    0.000    0.000    0.088    0.003 <frozen importlib._bootstrap>:1002(_gcd_import)
4111/1689    0.003    0.000    1.435    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     6767    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
     2896    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     2896    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2896    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
     6767    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
